Latin	English	Arabic	Chinese	Czech	Estonian	Finnish	French	German	Greek	Hebrew	Italian	Japanese	Korean	Marathi	Persian	Polish	Portugese	Russian	Spanish	Swedish	Turkish	Ukranian
Caelum	Graving tool	آلة النقاش	雕具座	Rydlo	Uurits	Veistotaltta	Burin	Grabstichel	Γλυφείον	מפסלת	Bulino dello Incisore	ちょうこくぐ座	조각칼자리	टंक	اِسکِنِه	Rylec	Buril de Escultor	Резец	Cincel	Gravstickeln	Çelikkalem	Різець
Camelopardalis	Giraffe	الزرافة	鹿豹座	Žirafa	Kaelkirjak	Kirahvi	Girafe	Giraffe	Καμηλοπάρδαλις	ג'ירף	Giraffa	きりん座	기린자리	करभ	زرّافه	Żyrafa	Girafa	Жираф	Jirafa	Giraffen	Zürafa	Жирафа
Cancer	Crab	السرطان	巨蟹座	Rak	Vähk	Krapu	Cancer	Krebs	Καρκίνος	סרטן	Cancro	かに座	게자리	कर्क	خرچنگ	Krab	Câncer	Рак	Cangrejo	Kräftan	Yengeç	Рак
Canes Venatici	Hunting Dogs	السلوقيان	獵犬座	Honicí psi	Jahipenid	Ajokoirat	Chiens de Chasse	Jagdhunde	Κύνες Θηρευτικοί	כלבי ציד	Cani da Caccia	りょうけん座	사냥개자리	श्याम शबल	تازی‌ها	Psy Gończe	Cães de Caça	Гончие Псы	Lebreles, Perros de Caza	Jakthundarna	Av Köpekleri	Гончі пси
Canis Major	Great Dog	الكلب الأكبر	大犬座	Velký pes	Suur Peni	Iso koira	Grand Chien	Großer Hund	Κύων Μέγας	כלב גדול	Cane Maggiore	おおいぬ座	큰개자리	बृहद् लुब्धक	سگِ مِهتَر	Wielki Pies	Cão Maior	Большой Пёс	Perro Mayor	Stora hunden	Büyük Köpek	Великий Пес
Canis Minor	Little Dog	الكلب الأصغر	小犬座	Malý pes	Väike Peni	Pieni koira	Petit Chien	Kleiner Hund	Κύων Μικρός	כלב קטן	Cane Minore	こいぬ座	작은개자리	लघु लुब्धक	سگِ کِهتَر	Mały Pies	Cão Menor	Малый Пёс	Perro Menor, Perro Pequeño	Lilla hunden	Küçük Köpek	Малий Пес
Capricornus	Capricorn	الجدي	摩羯座	Kozoroh	Kaljukits	Kauris	Capricorne	Steinbock	Αιγόκερως	גדי	Capricorno	やぎ座	염소자리	मकर	بُزماهی	Koziorożec	Capricórnio	Козерог	Capricornio	Stenbocken	Oğlak	Козоріг
Carina	Keel	القاعدة	船底座	Lodní kýl	Kiil	Köli	Carène	Kiel des Schiffs	Τρόπις	שדרית	Carena (della Nave)	りゅうこつ座	용골자리	नौकातल	شاه‌تخته	Kil	Quilha	Киль	Carina	Kölen	Karina	Кіль
Cassiopeia	Cassiopeia	الكرسي	仙后座	Kasiopeja	Kassiopeia	Kassiopeia	Cassiopée	Kassiopeia	Κασσιόπη	קסיופאה	Cassiopeia	カシオペヤ座	카시오페이아자리	शर्मिष्ठा	خداوندِ اورُنگ	Kasjopeja	Cassiopéia	Кассиопея	Casiopea	Cassiopeja	Koltuk	Кассіопея
Centaurus	Centaur	قنطور	半人馬座	Kentaur	Kentaur	Kentauri	Centaure	Zentaur	Κένταυρος	קנטאור	Centauro	ケンタウルス座	센타우루스자리	नरतुरंग	قنطورُس	Centaur	Centauro	Центавр	Centauro, Quirón	Kentauren	Erboğa	Центавр
Cepheus	Cepheus	الملتهب	仙王座	Kefeus	Kefeus	Kefeus	Céphée	Kepheus	Κηφεύς	קפאוס	Cefeo	ケフェウス座	세페우스자리	वृषपर्वा	کیکاوُس	Cefeusz	Cefeu	Цефей	Cefeo	Cepheus	Kral	Цефей
Cetus	Whale	قيطس	鯨魚座	Velryba	Vaal	Valaskala	Baleine	Walfisch	Κήτος	לווייתן	Balena	くじら座	고래자리	तिमिंगिल	وال	Wieloryb	Baleia	Кит	Ballena	Valfisken	Balina	Кит
Chamaeleon	Chamaeleon	الحرباء	蝘蜒座	Chameleón	Kameeleon	Kameleontti	Caméléon	Chamäleon	Χαμαιλέων	זיקית	Camaleonte	カメレオン座	카멜레온자리	वायुभक्ष	هورپا	Kameleon	Camaleão	Хамелеон	Camaleón	Kameleonten	Bukalemun	Хамелеон
Circinus	Compass (draftsman's)	البيكار	圓規座	Kružítko	Sirkel	Harppi	Compas	Zirkel	Διαβήτης	מחוגה	Compasso	コンパス座	컴퍼스자리	कर्काटक	دوپَرگار	Cyrkiel	Compasso	Циркуль	Compás	Ormen	Pergel	Циркуль
Columba	Dove	الحمامة	天鴿座	Holubice	Tuvi	Kyyhkynen	Colombe	Taube	Περιστερά	יונה	Colomba	はと座	비둘기자리	पारावत	کبوتر	Gołąb	Pomba	Голубь	Paloma	Duvan	Güvercin	Голуб
Coma Berenices	Berenice's Hair	الهلبة	后髮座	Vlasy Bereniky	Berenike Juuksed	Bereniken hiukset	Chevelure de Bérénice	Haar der Berenike	Κόμη Βερενίκης	שיערות ברניקי	Chioma di Berenice	かみのけ座	머리털자리	अरुंधती केश	گیسویِ بِرِنیسه	Warkocz Bereniki	Cabeleira	Волосы Вероники	Pelo de Berenice	Berenikes hår	Berenis'in Saçı	Волосся
Corona Australis	Southern Crown	الإكليل الجنوبي	南冕座	Jižní koruna	Lõunakroon	Etelän kruunu	Couronne Australe	Südliche Krone	Στέφανος Νότιος	כתר דרומי	Corona Australe	みなみのかんむり座	남쪽왕관자리	दक्षिण मुकुट	افسرِ نیم‌روز	Korona Południowa	Coroa Austral	Южная Корона	Corona Austral	Sydliga kronan	Güneytacı	Південна Корона
Corona Borealis	Northern Crown	الإكليل الشمالي	北冕座	Severní koruna	Põhjakroon	Pohjan kruunu	Couronne Boréale	Nördliche Krone	Στέφανος Βόρειος	כתר צפוני	Corona Boreale	かんむり座	북쪽왕관자리	उत्तर मुकुट	افسرِ شمالی	Korona Północna	Coroa Boreal	Северная Корона	Corona Boreal	Nordliga kronan	Kuzeytacı	Північна Корона
Corvus	Crow	الغراب	烏鴉座	Havran	Kaaren	Korppi	Corbeau	Rabe	Κόραξ	עורב	Corvo	からす座	남십자자리	ध्वांक्ष	کلاغ	Kruk	Corvo	Ворон	Cuervo	Korpen	Karga	Ворон
Crater	Cup	الباطية	巨爵座	Pohár	Karikas	Malja	Coupe	Becher	Κρατήρ	גביע	Coppa	コップ座	컵자리	चषक	پیاله	Puchar	Taça	Чаша	Copa, Cratera	Bägaren	Kupa	Чаша
Crux	Cross	صليب الجنوب	南十字座	Jižní kříž	Lõunarist	Etelän risti	Croix du Sud	Kreuz des Südens	Σταυρός Νότιος	הצלב הדרומי	Croce del Sud	みなみじゅうじ座	남십자자리	त्रिशंकु	چَلیپا	Krzyż Południa	Cruzeiro do Sul	Южный Крест	Cruz del Sur	Södra korset	Haç	Південний Хрест
Cygnus	Swan	الدجاجة	天鵝座	Labuť	Luik	Joutsen	Cygne	Schwan	Κύκνος	ברבור	Cigno	はくちょう座	고니자리	हंस	قو	Łabędź	Cisne	Лебедь	Cisne	Svanen	Kuğu	Лебідь
Delphinus	Dolphin	الدلفين	海豚座	Delfín	Delfiin	Delfiini	Dauphin	Delphin	Δελφίν	דולפין	Delfino	いるか座	돌고래자리	तिमि	دُلفین	Dalfin	Delfim	Дельфин	Delfín	Delfinen	Yunus	Дельфін
Dorado	Goldfish	أبو سيف	劍魚座	Mečoun	Kuldkala	Kultakala	Dorade	Goldfisch	Δοράς	דג זהב	Pesce Dorato	かじき座	황새치자리	असिदंष्ट्र	زَرماهی	Złota Ryba	Dourado	Золотая Рыба	Pez dorado	Svärdfisken	Kılıçbalığı	Золота Риба
Draco	Dragon	التنين	天龍座	Drak	Lohe	Lohikäärme	Dragon	Drache	Δράκων	דרקון	Dragone	りゅう座	용자리	कालेय	اژدها	Smok	Dragão	Дракон	Dragón	Draken	Ejderha	Дракон
Equuleus	Colt	قطعة الفرس	小馬座	Koníček	Hobu	Pieni hevonen	Petit Cheval	Füllen	Ιππάριον	סוסון	Cavallo	こうま座	조랑말자리	अश्वमुख	پاره‌یِ اسب	Źrebię	Cabeça de Cavalo	Малый Конь	Caballito	Lilla hästen	Tay	Малий Кінь
Eridanus	Eridanus	النهر	波江座	Eridanus	Eriidanus	Eridanus	Eridan	Eridanus	Ηριδανός	ארידנוס	Fiume Eridano	エリダヌス座	에리다누스자리	यमुना	رودخانه	Erydan	Eridano	Эридан	Erídano	Floden	Irmak	Ерідан
Fornax	Furnace	الكور	天爐座	Pec	Ahi	Sulatusuuni	Fourneau	Chemischer Ofen	Κάμινος	תנור	Fornace	ろ座	화로자리	अश्मंत	کوره	Piec	Forno	Печь	Horno	Ugnen	Ocak	Піч
Gemini	Twins	التوأمان	雙子座	Blíženci	Kaksikud	Kaksoset	Gémeaux	Zwillinge	Δίδυμοι	תאומים	Gemelli	ふたご座	쌍둥이자리	मिथुन	دوپیِکَر	Bliźnięta	Gêmeos	Близнецы	Géminis, Gemelos	Tvillingarna	İkizler	Близнюки
Grus	Crane	الكركي	天鶴座	Jeřáb	Kurg	Kurki	Grue	Kranich	Γερανός	עגור	Gru	つる座	두루미자리	बक	دُرنا	Żuraw	Grou	Журавль	Grulla	Tranan	Turna	Журавель
Hercules	Hercules	الجاثي	武仙座	Herkules	Herkules	Herkules	Hercule	Herkules	Ηρακλής	הרקולס	Ercole	ヘルクレス座	허큘리스자리	शौरि	بر زانو نشسته	Herkules	Hércules	Геркулес	Hércules	Herkules	Herkül	Геркулес
Horologium	Clock	الساعة	時鐘座	Hodiny	Kell	Heilurikello	Horloge	Pendeluhr	Ωρολόγιον	שעון מטוטלת	Orologio	とけい座	시계자리	कालयंत्र	ساعت	Zegar	Relógio	Часы	Reloj	Uret	Saat	Годинник
Hydra	Sea Serpent	الحية	長蛇座	Hydra	Hüdra	Vesikäärme	Hydre Femelle	(Nördliche) Wasser-schlange	Ύδρα	נחש מים	Idra femmina	うみへび座	바다뱀자리	वासुकि	آب‌مار	Hydra	Cobra Fêmea	Гидра	Hidra	Vattenormen	Suyılanı	Гідра
Hydrus	Hydrus	ثعبان البحر	水蛇座	Malý vodní had	Lõunahüdra	Etelän vesikäärme	Hydre Mâle	Kleine (Südliche, Männliche) Wasser-schlange	Ύδρος	נחש מים קטן	Idra maschio	みずへび座	물뱀자리	अलगर्द	نَرمار	Wąż Wodny	Cobra macho	Южная Гидра	Hidra Macho, Serpiente marina	Lilla vattenormen	Küçük-suyılanı	Південна Гідра
Indus	Indian	الهندي	印第安座	Indián	Indiaanlane	Intiaani	Indien	Indianer, Inder	Ινδός	אינדיאני	Indiano	インディアン座	인디언자리	यम	هندی	Indianin	Índio	Индеец	Indio	Indianen	Hintli	Індієць
Lacerta	Lizard	العظاءة	蠍虎座	Ještěrka	Sisalik	Sisilisko	Lézard	Eidechse	Σαύρα	לטאה	Lucertola	とかげ座	도마뱀자리	सरठ	چَلپاسه	Jaszczurka	Lagarto	Ящерица	Lagarto	Ödlan	Kertenkele	Ящірка
Leo	Lion	الأسد	獅子座	Lev	Lõvi	Leijona	Lion	Löwe	Λέων	אריה	Leone	しし座	사자자리	सिंह	شیر	Lew	Leão	Лев	León	Lejonet	Aslan	Лев
Leo Minor	Little Lion	الأسد الأصغر	小獅座	Malý lev	Väike Lõvi	Pieni leijona	Petit Lion	Kleiner Löwe	Λέων Μικρός	אריה קטן	Leone Minore	こじし座	작은사자자리	लघु सिंह	شیرِ کِهتَر	Mały Lew	Leão Menor	Малый Лев	León Menor, León Pequeño	Lilla lejonet	Küçük Aslan	Малий Лев
Lepus	Hare	الأرنب	天兔座	Zajíc	Jänes	Jänis	Lièvre	Hase	Λαγωός	ארנבת	Lepre	うさぎ座	토끼자리	शशक	خرگوش	Zając	Lebre	Заяц	Conejo	Haren	Tavşan	Заєць
